Movie,Co-Producing Countries,Genre,Production Budget ($),Worldwide Box Office to Date ($),Trailer
The SpongeBob Movie: Sponge on the Run,United States,Adventure,60000000.0,4810790,https://www.the-numbers.com/movie/SpongeBob-Movie-Sponge-on-the-Run-The-(2020)#tab=trailer
The Wretched,United States,Horror,66000.0,4594221,No Trailer
Cats & Dogs 3: Paws Unite!,United States,Adventure,21500000.0,4580873,No Trailer
Superintelligence,United States,Comedy,21500000.0,4170029,No Trailer
Infidel,United States,Thriller/Suspense,21500000.0,4051990,No Trailer
The Rental,United States,Thriller/Suspense,21500000.0,3976834,No Trailer
The Empty Man,United States,Horror,21500000.0,3969680,https://www.the-numbers.com/movie/Empty-Man-The-(2020)#tab=trailer
Ava,United States,Action,21500000.0,3722080,No Trailer
The Last Full Measure,"Costa Rica,United States",Drama,20000000.0,3321111,https://www.the-numbers.com/movie/Last-Full-Measure-The#tab=trailer
Half Brothers,"Mexico,United States",Comedy,21500000.0,3275079,https://www.the-numbers.com/movie/Half-Brothers-(2020)#tab=trailer
Wolfwalkers,"France,Ireland,Luxembourg,United States",Adventure,11250000.0,3241142,No Trailer
Relic,"Australia,United States",Thriller/Suspense,21500000.0,3238539,https://www.the-numbers.com/movie/Relic-(Australia)#tab=trailer
The Lodge,"United Kingdom,United States",Horror,21500000.0,3207248,No Trailer
Words on Bathroom Walls,United States,Drama,9300000.0,3184180,https://www.the-numbers.com/movie/Words-on-Bathroom-Walls#tab=trailer
The Banker,United States,Drama,11000000.0,2990000,No Trailer
The Comeback Trail,United States,Action,21500000.0,2736770,No Trailer
The Craft: Legacy,United States,Horror,21500000.0,2704918,https://www.the-numbers.com/movie/Craft-Legacy-The-(2020)#tab=trailer
Rifkin's Festival,"Italy,Spain,United States",Romantic Comedy,21500000.0,2228001,No Trailer
The High Note,United States,Comedy,21500000.0,2219433,https://www.the-numbers.com/movie/High-Note-The#tab=trailer
Happiest Season,"Canada,United States",Romantic Comedy,21500000.0,2113583,No Trailer
The Outpost,"Bulgaria,United States",Action,21500000.0,2099653,No Trailer
All My Life,United States,Drama,25000000.0,2024063,https://www.the-numbers.com/movie/All-My-Life-(2020)#tab=trailer
Echo Boomers,United States,Action,2500000.0,2003433,No Trailer
'83,"India,United Kingdom,United States",Drama,21500000.0,1993594,No Trailer
Met Opera: Porgy and Bess,United States,Concert/Performance,21500000.0,1913398,No Trailer
The Vigil,United States,Horror,21500000.0,1868659,No Trailer
Blackbird,United States,Drama,21500000.0,1824775,No Trailer
Palm Springs,United States,Comedy,5000000.0,1818417,No Trailer
Come Away,"United Kingdom,United States",Drama,21500000.0,1743649,No Trailer
The King of Staten Island,United States,Comedy,21500000.0,1709573,No Trailer
Kajillionaire,United States,Drama,21500000.0,1615171,https://www.the-numbers.com/movie/Kajillionaire#tab=trailer
Synchronic,United States,Thriller/Suspense,21500000.0,1516888,No Trailer
The Call,United States,Horror,21500000.0,1463872,No Trailer
Met Opera — Agrippina,United States,Concert/Performance,21500000.0,1453796,No Trailer
Sea Level 2: Magic Arch,United States,Adventure,21500000.0,1367883,No Trailer
The Assistant,United States,Drama,1780000.0,1350609,No Trailer
2 Hearts,United States,Drama,21500000.0,1349284,https://www.the-numbers.com/movie/2-Hearts-(2020)#tab=trailer
Fatman,"Canada,United Kingdom,United States",Black Comedy,21500000.0,1342414,No Trailer
The Distance Between Me and Me,"Romania,United States",Documentary,21500000.0,1341292,No Trailer
The Tax Collector,United States,Action,30000000.0,1309971,No Trailer
White Noise,United States,Documentary,21500000.0,1295735,No Trailer
Seberg,"United Kingdom,United States",Thriller/Suspense,8000000.0,1265119,https://www.the-numbers.com/movie/Seberg-(2019)#tab=trailer
Love and Monsters,United States,Adventure,30000000.0,1131683,No Trailer
True to the Game 2: Gena’s Story,United States,Thriller/Suspense,21500000.0,1117808,No Trailer
Dreamland,United States,Thriller/Suspense,21500000.0,1082505,No Trailer
Color Out of Space,United States,Horror,21500000.0,1067417,No Trailer
A Nice Girl Like You,United States,Romantic Comedy,21500000.0,1067328,No Trailer
Becky,United States,Thriller/Suspense,21500000.0,1063266,No Trailer
Shadow in the Cloud,United States,Action,21500000.0,1060738,No Trailer
Songbird,United States,Thriller/Suspense,21500000.0,1033533,https://www.the-numbers.com/movie/Songbird-(2020-Thriller)#tab=trailer
Met Opera: Wozzeck,United States,Concert/Performance,21500000.0,1032950,No Trailer
The Climb,United States,Drama,3000000.0,1027043,https://www.the-numbers.com/movie/Climb-The-(2020)#tab=trailer
On the Rocks,United States,Drama,21500000.0,991415,No Trailer
Endless,United States,Drama,21500000.0,953249,No Trailer
The Demon Inside,United States,Horror,21500000.0,949386,No Trailer
"Never, Rarely, Sometimes, Always","United Kingdom,United States",Drama,21500000.0,891527,https://www.the-numbers.com/movie/Never-Rarely-Sometimes-Always#tab=trailer
Behind You,United States,Horror,21500000.0,890154,No Trailer
The Last Vermeer,United States,Drama,21500000.0,884871,No Trailer
Buddy Games,"Canada,United States",Comedy,21500000.0,872222,No Trailer
Cut Throat City,United States,Drama,8000000.0,864907,No Trailer
Over the Moon,"China,United States",Musical,21500000.0,860000,No Trailer
A Call to Spy,United States,Drama,21500000.0,843458,No Trailer
Z,United States,Horror,21500000.0,818634,No Trailer
Capone,United States,Drama,21500000.0,759624,No Trailer
David Attenborough: A Life On Our Planet,United States,Documentary,21500000.0,745751,No Trailer
The Dark and The Wicked,United States,Horror,21500000.0,743691,No Trailer
Waiting for the Barbarians,"Italy,United States",Drama,21500000.0,740448,No Trailer
The Burnt Orange Heresy,United States,Thriller/Suspense,21500000.0,702376,No Trailer
The Truth,United States,Thriller/Suspense,21500000.0,670133,No Trailer
"Love, Weddings & Other Disasters",United States,Romantic Comedy,21500000.0,668121,No Trailer
The Last Shift,United States,Comedy,21500000.0,644318,No Trailer
The Secrets We Keep,United States,Thriller/Suspense,21500000.0,638216,No Trailer
The Assent,United States,Horror,21500000.0,637990,No Trailer
Alone,United States,Thriller/Suspense,21500000.0,599759,No Trailer
Fatima,"Portugal,United States",Drama,21500000.0,585082,https://www.the-numbers.com/movie/Fatima-(US)#tab=trailer
Time,United States,Documentary,21500000.0,574426,https://www.the-numbers.com/movie/Time-(2020)#tab=trailer
Once Were Brothers: Robbie Robertson and The Band,"Canada,United States",Documentary,21500000.0,556320,No Trailer
The Owners,United States,Thriller/Suspense,21500000.0,554902,No Trailer
Followed,United States,Horror,21500000.0,546382,No Trailer
First Cow,United States,Drama,21500000.0,545647,No Trailer
Sound of Metal,"Belgium,United States",Drama,5400000.0,516819,https://www.the-numbers.com/movie/Sound-of-Metal#tab=trailer
The Big Ugly,United States,Action,21500000.0,515399,No Trailer
CatVideoFest 2020,United States,Documentary,21500000.0,514145,No Trailer
The Forgotten Carols,United States,Musical,21500000.0,502252,No Trailer
Spell,United States,Horror,21500000.0,500104,No Trailer
An American Pickle,United States,Comedy,21500000.0,499737,No Trailer
Black Water: Abyss,"Australia,United Kingdom,United States",Horror,21500000.0,497526,No Trailer
Resistance,"France,Germany,United Kingdom,United States",Drama,21500000.0,460503,No Trailer
Burden,United States,Drama,21500000.0,449786,https://www.the-numbers.com/movie/Burden-(2020)#tab=trailer
Infamous,United States,Action,21500000.0,446584,No Trailer
I Am Woman,United States,Drama,21500000.0,439684,No Trailer
Adam,United States,Drama,21500000.0,428812,No Trailer
Force of Nature,United States,Action,21500000.0,415582,No Trailer
Tulsa,United States,Drama,21500000.0,413522,No Trailer
The Mole Agent,"Chile,Germany,Netherlands,Spain,United States",Documentary,21500000.0,402414,No Trailer
Rogue,United States,Action,21500000.0,401087,https://www.the-numbers.com/movie/Rogue-(2020-UK)#tab=trailer
Gunda,"Norway,United States",Documentary,21500000.0,384957,No Trailer
Tesla,United States,Drama,21500000.0,379110,No Trailer
Murder in the Woods,United States,Horror,21500000.0,372623,No Trailer
Yellow Rose,"Philippines,United States",Drama,21500000.0,367849,https://www.the-numbers.com/movie/Yellow-Rose-(2019-Philippines)#tab=trailer
Think Like a Dog,United States,Comedy,21500000.0,361632,No Trailer
Irresistible,United States,Comedy,21500000.0,338912,https://www.the-numbers.com/movie/Irresistible#tab=trailer
Shirley,United States,Thriller/Suspense,21500000.0,309641,No Trailer
The Mortuary Collection,United States,Horror,21500000.0,307160,No Trailer
